company_id,company,valuation,year_founded,date_joined,industry,city,country,continent,funding,investors
10001,Bytedance,180000000000,2012-01-01,2017-04-07,Artificial intelligence,Beijing,China,Asia,8000000000,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
10002,SpaceX,100000000000,2002-01-01,2012-12-01,Other,Hawthorne,United States,North America,7000000000,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
10003,SHEIN,100000000000,2008-01-01,2018-07-03,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2000000000,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
10004,Stripe,95000000000,2010-01-01,2014-01-23,Fintech,San Francisco,United States,North America,2000000000,"Khosla Ventures, LowercaseCapital, capitalG"
10005,Klarna,46000000000,2005-01-01,2011-12-12,Fintech,Stockholm,Sweden,Europe,4000000000,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
10006,Canva,40000000000,2012-01-01,2018-01-08,Internet software & services,Surry Hills,Australia,Oceania,572000000,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
10007,Checkout.com,40000000000,2012-01-01,2019-05-02,Fintech,London,United Kingdom,Europe,2000000000,"Tiger Global Management, Insight Partners, DST Global"
10008,Instacart,39000000000,2012-01-01,2014-12-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,3000000000,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
10009,JUUL Labs,38000000000,2015-01-01,2017-12-20,Consumer & retail,San Francisco,United States,North America,14000000000,Tiger Global Management
10010,Databricks,38000000000,2013-01-01,2019-02-05,Data management & analytics,San Francisco,United States,North America,3000000000,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
10011,Revolut,33000000000,2015-01-01,2018-04-26,Fintech,London,United Kingdom,Europe,2000000000,"index Ventures, DST Global, Ribbit Capital"
10012,Epic Games,32000000000,1991-01-01,2018-10-26,Other,Cary,United States,North America,7000000000,"Tencent Holdings, KKR, Smash Ventures"
10013,FTX,32000000000,2018-01-01,2021-07-20,Fintech,Nassau,Bahamas,North America,2000000000,"Sequoia Capital, Thoma Bravo, Softbank"
10014,Fanatics,27000000000,2002-01-01,2012-06-06,E-commerce & direct-to-consumer,Jacksonville,United States,North America,4000000000,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
10015,Chime,25000000000,2013-01-01,2019-03-05,Fintech,San Francisco,United States,North America,2000000000,"Forerunner Ventures, Crosslink Capital, Homebrew"
10016,BYJU's,22000000000,2008-01-01,2017-07-25,Edtech,Bengaluru,India,Asia,4000000000,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
10017,J&T Express,20000000000,2015-01-01,2021-04-07,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,5000000000,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
10018,Xiaohongshu,20000000000,2013-01-01,2016-03-31,E-commerce & direct-to-consumer,Shanghai,China,Asia,918000000,"GGV Capital, ZhenFund, Tencent"
10019,Miro,18000000000,2011-01-01,2022-01-05,Internet software & services,San Francisco,United States,North America,476000000,"Accel, AltaIR Capital, Technology Crossover Ventures"
10020,Yuanfudao,17000000000,2012-01-01,2017-05-31,Edtech,Beijing,China,Asia,4000000000,"Tencent Holdings, Warbug Pincus, IDG Capital"
10021,Rapyd,15000000000,2016-01-01,2019-12-03,Fintech,London,United Kingdom,Europe,770000000,"Target Global, General Catalyst, Durable Capital Partners"
10022,Discord,15000000000,2012-01-01,2018-04-20,Internet software & services,San Francisco,United States,North America,979000000,"Benchmark, Greylock Partners, Tencent Holdings"
10023,Genki Forest,15000000000,2016-01-01,2020-03-01,Consumer & retail,Beijing,China,Asia,721000000,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
10024,goPuff,15000000000,2013-01-01,2020-10-08,E-commerce & direct-to-consumer,Philadelphia,United States,North America,3000000000,"Accel, Softbank Group, Anthos Capital"
10025,Blockchain.com,14000000000,2011-01-01,2021-02-17,Fintech,London,United Kingdom,Europe,490000000,"Lightspeed Venture Partners, Google Ventures, Lakestar"
10026,Plaid,13000000000,2012-01-01,2018-12-11,Fintech,San Francisco,United States,North America,734000000,"New Enterprise Associates, Spar Capital, Index Ventures"
10027,Devoted Health,13000000000,2017-01-01,2018-10-16,Health,Waltham,United States,North America,2000000000,"Andreessen Horowitz, F-Prime Capital, Venrock"
10028,OpenSea,13000000000,2017-01-01,2021-07-20,E-commerce & direct-to-consumer,New York,United States,North America,427000000,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
10029,Grammarly,13000000000,2009-01-01,2019-10-10,Internet software & services,San Francisco,United States,North America,400000000,"General Catalyst, Institutional Venture Partners, Breyer Capital"
10030,Argo AI,12000000000,2016-01-01,2019-07-12,Artificial intelligence,Pittsburgh,United States,North America,4000000000,"Volkswagen Group, Ford Autonomous Vehicles"
10031,Northvolt,12000000000,2016-01-01,2019-06-12,Other,Stockholm,Sweden,Europe,4000000000,"Vattenfall, Volkswagen Group, Goldman Sachs"
10032,Faire,12000000000,2017-01-01,2019-10-30,Artificial intelligence,San Francisco,United States,North America,1000000000,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
10033,Airtable,12000000000,2013-01-01,2018-11-15,Internet software & services,San Francisco,United States,North America,1000000000,"Caffeinated Capital, CRV, Founder Collective"
10034,Brex,12000000000,2017-01-01,2018-10-05,Fintech,San Francisco,United States,North America,1000000000,"DST Global, Ribbit Capital, Greenoaks Capital Management"
